Parameter Value[Column model]	Parameter Value[Column model] - Upper Case	IGNORE	COLUMN_DESCRIPTION	Min Peak Width	Max Peak Width	Center
Acclaim 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)	ACCLAIM 120 C18 (2.2 µM, 2.1 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, UPLC	5	20	2
Acclaim C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)	ACCLAIM C18 (2.2 µM, 2.1 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, UPLC	5	20	2
Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)	ACCLAIM C30 (3 µM, 2.1 MM X 150 MM, THERMO SCIENTIFIC)	0	150 mm length, UPLC	5	20	2
Acclaim C30 (3 µm, 3 mm x 150 mm; Thermo Scientific)	ACCLAIM C30 (3 µM, 3 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, UPLC	5	20	2
Acclaim PepMap C18 100 ≈ (3 µm, 0.075 mm x 150 mm; Thermo Scientific)	ACCLAIM PEPMAP C18 100 ≈ (3 µM, 0.075 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
Acclaim PepMap RSLC C18 100 ≈ (2 µm, 0.050 mm x 150 mm; Thermo Scientific)	ACCLAIM PEPMAP RSLC C18 100 ≈ (2 µM, 0.050 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
Acclaim PepMap RSLC C18 100 ≈ (2 µm, 0.075 mm x 150 mm; Thermo Scientific)	ACCLAIM PEPMAP RSLC C18 100 ≈ (2 µM, 0.075 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
Acclaim PepMap100 C18 100 ≈ (2 µm, 0.3 mm x 150 mm; Thermo Scientific)	ACCLAIM PEPMAP100 C18 100 ≈ (2 µM, 0.3 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
Acclaim PepMap100 C18 100 ≈ (5 µm, 0.1 mm x 20 mm; Thermo Scientific)	ACCLAIM PEPMAP100 C18 100 ≈ (5 µM, 0.1 MM X 20 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
Acclaim Polar Advantage II (3 µm, 3 mm x 150 mm; Thermo Scientific)	ACCLAIM POLAR ADVANTAGE II (3 µM, 3 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, UPLC	5	20	2
Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)	ACCLAIM RSLC 120 C18 (2.2 µM, 2.1 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, UPLC	5	20	2
